id,rank,window_index,source_video,video_duration_s,target_time_s,actual_frame_time_s,nearest_frame_error_s,frame_path,frame_sha256
02,5,9,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,3.492969,0.190000,0.200000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\02_rank_05_window_09.jpg,e934d6e72ae61a48d0bd4af4d7037b03c41d4df7a3e36da66193ab7565826acc
02,6,18,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,3.492969,0.370000,0.366667,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\02_rank_06_window_18.jpg,18861b6f6f7ef6cf132318032aaf0c97cb9b87e817fd666a7c45dc7aa114f61b
03,2,30,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,9.663997,0.610000,0.600000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\03_rank_02_window_30.jpg,411a586fec9f2047ae498f201a2d197daf4f3b198363ccc26d2e78dc4f69c9ca
03,3,31,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,9.663997,0.630000,0.633333,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\03_rank_03_window_31.jpg,84426a72aaefdfb14eecb08025ca2b44a7769c678d5cb2dce6b5c892eb3cd116
03,4,29,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,9.663997,0.590000,0.600000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\03_rank_04_window_29.jpg,411a586fec9f2047ae498f201a2d197daf4f3b198363ccc26d2e78dc4f69c9ca
05,1,7,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,6.100000,0.150000,0.166667,0.016667,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\05_rank_01_window_07.jpg,a007efeaa30333f180a5bb4474bf1100fe93f2b6e750a6ba19e5c5931ba806d7
05,2,8,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,6.100000,0.170000,0.166667,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\05_rank_02_window_08.jpg,a007efeaa30333f180a5bb4474bf1100fe93f2b6e750a6ba19e5c5931ba806d7
05,3,6,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,6.100000,0.130000,0.133333,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\05_rank_03_window_06.jpg,698b1343e92671e22c1d14b9bf828aef6a767c1b3aad3bbb57947d512bdb74db
07,2,46,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\07.mp4,21.348000,0.930000,0.933333,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\07_rank_02_window_46.jpg,5610525853bb4bd19e2cb655e373b0e9e87c4c50b5ec60cf02a70b3f1e8b0fcb
08,3,11,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\08.mp4,5.086003,0.230000,0.233333,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\08_rank_03_window_11.jpg,f3ad4aa66f5df99f37166578570ab3b370717433ba3f0783b3bf6865598b44ac
09,4,10,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4,5.041992,0.210000,0.200000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\09_rank_04_window_10.jpg,fad28c95b28796e76a03e2bc5890a8d4e032b50781f48a67e7b6d289effe77d0
09,5,9,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4,5.041992,0.190000,0.200000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\09_rank_05_window_09.jpg,fad28c95b28796e76a03e2bc5890a8d4e032b50781f48a67e7b6d289effe77d0
10,6,27,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,9.939974,0.550000,0.566667,0.016667,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\10_rank_06_window_27.jpg,b5f432ff369475592685217bdf63c0f270323a9563179a9e9f63120c21097fb3
