sample_id,video_id,clip_id,modality,source_file,duration_s,valid_duration_s,feature_shape,feature_dim,num_bins,bin_width_s,valid_bins,padding_rule,extractor,source_sha256
-3g5yACwYnA$_$13,-3g5yACwYnA,13,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\13.mp4,5.513997,5.513997,50x768,768,50,0.110280,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f
-3g5yACwYnA$_$13,-3g5yACwYnA,13,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\13.mp4,5.513997,5.399125,50x74,74,50,0.110280,49,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f
-3g5yACwYnA$_$13,-3g5yACwYnA,13,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\13.mp4,5.513997,5.513997,50x35,35,50,0.110280,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f
-3g5yACwYnA$_$3,-3g5yACwYnA,3,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\3.mp4,14.388997,14.388997,50x768,768,50,0.287780,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d
-3g5yACwYnA$_$3,-3g5yACwYnA,3,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\3.mp4,14.388997,14.327875,50x74,74,50,0.287780,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d
-3g5yACwYnA$_$3,-3g5yACwYnA,3,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\3.mp4,14.388997,14.388997,50x35,35,50,0.287780,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d
-3g5yACwYnA$_$2,-3g5yACwYnA,2,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\2.mp4,9.394010,9.394010,50x768,768,50,0.187880,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7
-3g5yACwYnA$_$2,-3g5yACwYnA,2,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\2.mp4,9.394010,9.231312,50x74,74,50,0.187880,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7
-3g5yACwYnA$_$2,-3g5yACwYnA,2,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\2.mp4,9.394010,9.394010,50x35,35,50,0.187880,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7
-3g5yACwYnA$_$9,-3g5yACwYnA,9,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\9.mp4,8.816992,8.816992,50x768,768,50,0.176340,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016
-3g5yACwYnA$_$9,-3g5yACwYnA,9,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\9.mp4,8.816992,8.696125,50x74,74,50,0.176340,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016
-3g5yACwYnA$_$9,-3g5yACwYnA,9,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\9.mp4,8.816992,8.816992,50x35,35,50,0.176340,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3nNcZdcdvU\5.mp4,7.867969,7.867969,50x768,768,50,0.157359,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3nNcZdcdvU\5.mp4,7.867969,7.788563,50x74,74,50,0.157359,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3nNcZdcdvU\5.mp4,7.867969,7.867969,50x35,35,50,0.157359,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4,3.982031,3.982031,50x768,768,50,0.079641,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4,3.982031,3.915812,50x74,74,50,0.079641,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4,3.982031,3.982031,50x35,35,50,0.079641,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\5.mp4,5.652995,5.652995,50x768,768,50,0.113060,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\5.mp4,5.652995,5.544062,50x74,74,50,0.113060,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\5.mp4,5.652995,5.652995,50x35,35,50,0.113060,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\6.mp4,3.358008,3.358008,50x768,768,50,0.067160,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\6.mp4,3.358008,3.256000,50x74,74,50,0.067160,49,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\6.mp4,3.358008,3.358008,50x35,35,50,0.067160,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46
