id,rank,window_index,source_video,video_duration_s,target_time_s,actual_frame_time_s,nearest_frame_error_s,frame_path,frame_sha256
02,4,15,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,3.492969,1.082820,1.066667,0.016154,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\02_rank_04_window_15.jpg,60f138050a14f23a95b13e1dd45dd0bd41aff9a048e72f9dd0b2b27913b7a8d4
02,5,12,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,3.492969,0.873242,0.866667,0.006576,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\02_rank_05_window_12.jpg,e20e6f2bb13956cb85bb6f19de321cc808f20988db97818a9ec63201bc8474cf
02,6,16,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,3.492969,1.152680,1.166667,0.013987,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\02_rank_06_window_16.jpg,99b51c2ef8ef6ac493f5a10a5ab7bdc8ab102e4121a22afe46489dce55b3eade
03,4,9,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,9.663997,1.836159,1.833333,0.002826,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\03_rank_04_window_09.jpg,56e37ba8903500a95d15a2d722e89617b2bb67345b0b27bac73476e92a9839a3
03,5,12,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,9.663997,2.415999,2.400000,0.015999,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\03_rank_05_window_12.jpg,d615aa5e0ddfa4bf50722b95ee4ac5215fe61d9d2991bf0fd8f8ee9dc3b084b7
03,6,13,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,9.663997,2.609279,2.600000,0.009279,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\03_rank_06_window_13.jpg,60c8e14a0840cfd16c8ca0e230704db45bf154e4f3804abd14e3812fbdba9785
04,4,15,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,6.994010,2.168143,2.166667,0.001476,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\04_rank_04_window_15.jpg,6b0f787cace912d3457b9adb690468dbc37663ba20b2ea1f39109e15041919cc
04,5,14,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,6.994010,2.028263,2.033333,0.005070,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\04_rank_05_window_14.jpg,12ec2d986fa3c36b86ef9170ed99c6b26e36d089e6ca0312f0a575b232ff79c3
04,6,18,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,6.994010,2.587784,2.600000,0.012216,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\04_rank_06_window_18.jpg,cb0d4ce7ed26dbb7dfd4508db66f1ee2a5f0afa9429ae8dae657b767c9206c97
05,1,13,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,6.100000,1.647000,1.633333,0.013667,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\05_rank_01_window_13.jpg,36b88f2e8a5f94c8b2e218f004e0df72ed3b695658753e6f562e2a430a3bb673
05,2,12,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,6.100000,1.525000,1.533333,0.008333,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\05_rank_02_window_12.jpg,6a711dc2fa06cfad0180151ce880c3a3b8c0e2d6dbe34c5ce1b3db97cdc12a98
05,3,1,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,6.100000,0.183000,0.166667,0.016333,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\05_rank_03_window_01.jpg,a007efeaa30333f180a5bb4474bf1100fe93f2b6e750a6ba19e5c5931ba806d7
10,4,3,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,9.939974,0.695798,0.700000,0.004202,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\10_rank_04_window_03.jpg,72e7622bf6cf9b2edef107ad8b4cb9c2ab8010021e24688ae7a65ab890bdd8e8
10,5,4,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,9.939974,0.894598,0.900000,0.005402,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\10_rank_05_window_04.jpg,83e560e5cac3a9408cca5cb48c36df1e03fe62d2efe447497b0872d6905fa804
10,6,2,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,9.939974,0.496999,0.500000,0.003001,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\10_rank_06_window_02.jpg,9601221b0eff9c6d8a9ced730a87d005cd5bedeae5d9c3eaf327f6c516ec57b5
11,4,13,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4,5.803971,1.567072,1.566667,0.000406,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\11_rank_04_window_13.jpg,4f13c73440d9cef13cf9639dd4764b59001020f379d7e52b46c5ea5b91df13b9
11,5,14,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4,5.803971,1.683152,1.666667,0.016485,q3_explainability\q3_q2_best_run_final\attachment4\video_keyframes\11_rank_05_window_14.jpg,b79dc9735b2abdb955072a4405c4f5e858900eb9b60669be013de110161cb0b6
