sample_id,bin_index,start_s,end_s,text_tokens,text_valid,audio_valid,audio_rms_mean,vision_valid,vision_timestamp_s,face_detected,visual_motion_mean
-tPCytz4rww$_$18,0,0.000000,0.132900,Do,1,1,0.05125022,1,0.066667,1,0.00000000
-tPCytz4rww$_$18,1,0.132900,0.265799,Do so,1,1,0.01561052,1,0.200000,1,0.00068109
-tPCytz4rww$_$18,2,0.265799,0.398699,so,1,1,0.00308632,1,0.333333,1,0.00111579
-tPCytz4rww$_$18,3,0.398699,0.531599,so and,1,1,0.00455504,1,0.466667,1,0.00051021
-tPCytz4rww$_$18,4,0.531599,0.664499,and,1,1,0.04762091,1,0.600000,1,0.00054305
-tPCytz4rww$_$18,5,0.664499,0.797398,and,1,1,0.01631934,1,0.733333,1,0.00057260
-tPCytz4rww$_$18,6,0.797398,0.930298,and as,1,1,0.09988020,1,0.866667,1,0.00034721
-tPCytz4rww$_$18,7,0.930298,1.063198,as,1,1,0.03849603,1,1.000000,1,0.00048450
-tPCytz4rww$_$18,8,1.063198,1.196098,as well,1,1,0.00489353,1,1.133333,1,0.00054999
-tPCytz4rww$_$18,9,1.196098,1.328997,well,1,1,0.00379732,1,1.266667,1,0.00064868
-tPCytz4rww$_$18,10,1.328997,1.461897,well,1,1,0.01396994,1,1.400000,1,0.00045266
-tPCytz4rww$_$18,11,1.461897,1.594797,well you'll,1,1,0.05964078,1,1.533333,1,0.00042097
-tPCytz4rww$_$18,12,1.594797,1.727697,you'll,1,1,0.05357635,1,1.666667,1,0.00043449
-tPCytz4rww$_$18,13,1.727697,1.860596,you'll,1,1,0.05335662,1,1.800000,1,0.00061528
-tPCytz4rww$_$18,14,1.860596,1.993496,you'll also,1,1,0.16899967,1,1.933333,1,0.00063157
-tPCytz4rww$_$18,15,1.993496,2.126396,also,1,1,0.09934570,1,2.066667,1,0.00053094
-tPCytz4rww$_$18,16,2.126396,2.259295,also,1,1,0.01271789,1,2.200000,1,0.00047048
-tPCytz4rww$_$18,17,2.259295,2.392195,also want,1,1,0.03367476,1,2.333333,1,0.00057638
-tPCytz4rww$_$18,18,2.392195,2.525095,want,1,1,0.04957938,1,2.466667,1,0.00030144
-tPCytz4rww$_$18,19,2.525095,2.657995,want,1,1,0.05355308,1,2.600000,1,0.00032982
-tPCytz4rww$_$18,20,2.657995,2.790895,want to,1,1,0.11144742,1,2.733333,1,0.00059751
-tPCytz4rww$_$18,21,2.790895,2.923794,to,1,1,0.09597459,1,2.866667,1,0.00055419
-tPCytz4rww$_$18,22,2.923794,3.056694,to remove,1,1,0.05211805,1,3.000000,1,0.00121258
-tPCytz4rww$_$18,23,3.056694,3.189594,remove,1,1,0.05649276,1,3.133333,1,0.00088546
-tPCytz4rww$_$18,24,3.189594,3.322494,remove,1,1,0.04755235,1,3.266667,1,0.00057373
-tPCytz4rww$_$18,25,3.322494,3.455393,remove,1,1,0.00871079,1,3.400000,1,0.00086142
-tPCytz4rww$_$18,26,3.455393,3.588293,remove any,1,1,0.05180782,1,3.533333,1,0.00053766
-tPCytz4rww$_$18,27,3.588293,3.721193,any,1,1,0.06023129,1,3.666667,1,0.00028610
-tPCytz4rww$_$18,28,3.721193,3.854092,any,1,1,0.07392978,1,3.800000,1,0.00088401
-tPCytz4rww$_$18,29,3.854092,3.986992,any clutter,1,1,0.05155708,1,3.933333,1,0.00093234
-tPCytz4rww$_$18,30,3.986992,4.119892,clutter,1,1,0.04556467,1,4.066667,1,0.00081831
-tPCytz4rww$_$18,31,4.119892,4.252792,clutter,1,1,0.00743322,1,4.200000,1,0.00085916
-tPCytz4rww$_$18,32,4.252792,4.385692,clutter,1,1,0.08253312,1,4.333333,1,0.00066457
-tPCytz4rww$_$18,33,4.385692,4.518591,clutter from,1,1,0.06995706,1,4.466667,1,0.00026682
-tPCytz4rww$_$18,34,4.518591,4.651491,from,1,1,0.02426559,1,4.600000,1,0.00082839
-tPCytz4rww$_$18,35,4.651491,4.784390,from,1,1,0.04329015,1,4.733333,1,0.00106478
-tPCytz4rww$_$18,36,4.784390,4.917290,from that,1,1,0.04932455,1,4.866667,1,0.00174898
-tPCytz4rww$_$18,37,4.917290,5.050190,that,1,1,0.04263093,1,5.000000,1,0.00125475
-tPCytz4rww$_$18,38,5.050190,5.183090,that,1,1,0.01873610,1,5.100000,1,0.00118114
-tPCytz4rww$_$18,39,5.183090,5.315989,that you've,1,1,0.01628240,1,5.233333,1,0.00134331
-tPCytz4rww$_$18,40,5.315989,5.448889,you've,1,1,0.02192145,1,5.366667,1,0.00113595
-tPCytz4rww$_$18,41,5.448889,5.581789,you've,1,1,0.02346854,1,5.500000,1,0.00045113
-tPCytz4rww$_$18,42,5.581789,5.714689,you've,1,1,0.04317675,1,5.633333,1,0.00025954
-tPCytz4rww$_$18,43,5.714689,5.847589,you've accumulated,1,1,0.04595569,1,5.766667,1,0.00057119
-tPCytz4rww$_$18,44,5.847589,5.980488,accumulated,1,1,0.04092017,1,5.900000,1,0.00104740
-tPCytz4rww$_$18,45,5.980488,6.113388,accumulated,1,1,0.00620739,1,6.033333,1,0.00122925
-tPCytz4rww$_$18,46,6.113388,6.246288,accumulated,1,1,0.00472076,1,6.166667,1,0.00098075
-tPCytz4rww$_$18,47,6.246288,6.379188,accumulated,1,1,0.00654641,1,6.300000,1,0.00065012
-tPCytz4rww$_$18,48,6.379188,6.512087,accumulated,1,1,0.04939950,1,6.433333,1,0.00046501
-tPCytz4rww$_$18,49,6.512087,6.644987,accumulated .,1,1,0.02289074,1,6.566667,1,0.00021026
